id,Наименование,Регулярная цена,Промо цена,Бренд
14672,"Корм сухой для взрослых собак CHAPPI Сытный мясной обед с говядиной, полнорационный, 2,5кг",454.99 руб.,454.99 руб.,CHAPPI
46023,"Корм сухой для взрослых собак CHAPPI Сытный мясной обед Мясное изобилие, для всех пород, полнорационный, 2,5кг",454.99 руб.,454.99 руб.,CHAPPI
69012,"Корм сухой для взрослых кошек PURINA ONE Adult с курицей и цельными злаками, 200г",129.99 руб.,129.99 руб.,PURINA ONE
69013,"Корм сухой для котят PURINA ONE Kitten с курицей и цельными злаками, 200г",129.99 руб.,129.99 руб.,PURINA ONE
132271,"Корм сухой для взрослых кошек PURINA ONE Adult с курицей и цельными злаками, 750г",354.99 руб.,354.99 руб.,PURINA ONE
137131,"Корм сухой для взрослых кошек PURINA ONE Sensitive Индейка и рис, с чувствительным пищеварением, 200г",129.99 руб.,129.99 руб.,PURINA ONE
139322,"Корм сухой для взрослых кошек PURINA ONE Sensitive Индейка и рис, с чувствительным пищеварением, 750г",354.99 руб.,354.99 руб.,PURINA ONE
180020,"Лакомство для собак TITBIT Шпикачка с печенью говяжьей и морковью, 50г",79.99 руб.,59.99 руб.,TITBIT
180169,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 750г",354.99 руб.,354.99 руб.,PURINA ONE
180175,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 200г",129.99 руб.,129.99 руб.,PURINA ONE
183842,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 200г",129.99 руб.,129.99 руб.,PURINA ONE
236532,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 750г",354.99 руб.,354.99 руб.,PURINA ONE
259030,"Наполнитель бентонитовый для кошачьего туалета PI-PI-BENT комкующийся, 5кг",489.99 руб.,449.99 руб.,PI-PI-BENT
267586,"Лакомство для кошек DREAMIES Подушечки с курицей, 60г",74.99 руб.,69.99 руб.,DREAMIES
