id,Наименование,Регулярная цена,Промо цена,Бренд
14672,"Корм сухой для взрослых собак CHAPPI Сытный мясной обед с говядиной, полнорационный, 2,5кг",449.99 руб.,449.99 руб.,CHAPPI
46023,"Корм сухой для взрослых собак CHAPPI Сытный мясной обед Мясное изобилие, для всех пород, полнорационный, 2,5кг",449.99 руб.,449.99 руб.,CHAPPI
69013,"Корм сухой для котят PURINA ONE Kitten с курицей и цельными злаками, 200г",119.99 руб.,119.99 руб.,PURINA ONE
137131,"Корм сухой для взрослых кошек PURINA ONE Sensitive Индейка и рис, с чувствительным пищеварением, 200г",119.99 руб.,119.99 руб.,PURINA ONE
139322,"Корм сухой для взрослых кошек PURINA ONE Sensitive Индейка и рис, с чувствительным пищеварением, 750г",349.99 руб.,349.99 руб.,PURINA ONE
180020,"Лакомство для собак TITBIT Шпикачка с печенью говяжьей и морковью, 50г",79.99 руб.,59.99 руб.,TITBIT
180175,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 200г",129.99 руб.,129.99 руб.,PURINA ONE
183842,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 200г",119.99 руб.,119.99 руб.,PURINA ONE
236532,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 750г",349.99 руб.,349.99 руб.,PURINA ONE
267586,"Лакомство для кошек DREAMIES Подушечки с курицей, 60г",89.99 руб.,79.99 руб.,DREAMIES
267598,"Лакомство для кошек DREAMIES Подушечки с сыром, 60г",89.99 руб.,79.99 руб.,DREAMIES
267602,"Лакомство для кошек DREAMIES Подушечки с лососем, 60г",89.99 руб.,79.99 руб.,DREAMIES
278383,"Лакомство для собак DENT Снек жевательный со вкусом говядины для мелких собак, 35г",44.99 руб.,34.99 руб.,DENT
288799,"Наполнитель для кошачьего туалета ЛЕНТА комкующийся, 5кг",369.99 руб.,289.99 руб.,ЛЕНТА
296845,"Корм сухой для взрослых кошек PURINA ONE Sterilised с говядиной и пшеницей для стерилизованных, 750г",349.99 руб.,349.99 руб.,PURINA ONE
338287,"Корм сухой для взрослых собак PURINA ONE Говядина и рис, 600г",279.99 руб.,234.99 руб.,PURINA ONE
338329,"Корм сухой для взрослых собак PURINA ONE Mini Чувствительная с лососем и рисом, 600г",279.99 руб.,234.99 руб.,PURINA ONE
339661,"Корм консервированный для кошек 365 ДНЕЙ Говядина, 325г",64.99 руб.,39.99 руб.,365 ДНЕЙ
341204,"Корм консервированный для кошек 365 ДНЕЙ Цыпленок, 325г",64.99 руб.,44.99 руб.,365 ДНЕЙ
341205,"Корм консервированный для кошек 365 ДНЕЙ Мясное ассорти, 325г",64.99 руб.,44.99 руб.,365 ДНЕЙ
341206,"Корм консервированный для собак 365 ДНЕЙ Цыпленок, 325г",79.99 руб.,54.99 руб.,365 ДНЕЙ
349954,"Корм сухой для взрослых собак PURINA ONE Mini Активная Курица и рис, 1,5кг",559.99 руб.,494.99 руб.,PURINA ONE
349955,"Корм сухой для взрослых кошек PURINA ONE Housecat с индейкой и цельными злаками, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
349956,"Корм сухой для взрослых кошек PURINA ONE Sterilised с лососем и пшеницей, для стерилизованных, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
356439,"Корм сухой для кошек KITEKAT Мясной пир, 800г",199.99 руб.,199.99 руб.,KITEKAT
357988,"Корм сухой для кошек WHISKAS Вкусные подушечки с курицей, для стерилизованных кошек, 350г",159.99 руб.,159.99 руб.,WHISKAS
370139,"Корм сухой для взрослых кошек PERFECT FIT с курицей, для живущих в помещении, 650г",449.99 руб.,264.99 руб.,PERFECT FIT
370142,"Корм сухой для кошек PERFECT FIT с курицей для стерилизованных, 650г",449.99 руб.,264.99 руб.,PERFECT FIT
374616,"Пеленки для животных 365 ДНЕЙ одноразовые 60x40см, 30шт",479.99 руб.,299.99 руб.,365 ДНЕЙ
378659,"Корм сухой для взрослых кошек WHISKAS Вкусные подушечки с нежным паштетом, Аппетитный обед с говядиной, 350г",159.99 руб.,159.99 руб.,WHISKAS
378662,"Корм сухой для взрослых кошек WHISKAS Вкусные подушечки с нежным паштетом, Аппетитное ассорти с курицей и индейкой, 350г",159.99 руб.,159.99 руб.,WHISKAS
378667,"Корм консервированный для взрослых кошек KITEKAT Сочная говядина с 
говядиной в желе, 85г",18.99 руб.,18.99 руб.,KITEKAT
378669,"Корм консервированный для кошек KITEKAT c сочными кусочками курицы в соусе, 85г",18.99 руб.,18.99 руб.,KITEKAT
381173,"Корм консервированный для собак BRIT Говядина и сердце, 850г",299.99 руб.,219.99 руб.,BRIT
383907,"Игрушка для собак TRIOL из латекса, в ассортименте, 24см",329.99 руб.,249.99 руб.,TRIOL
383928,Игрушка для кошек TRIOL Удочка-дразнилка гибкая с перьями 185/550мм,199.99 руб.,199.99 руб.,TRIOL
399739,"Лакомство для кошек DREAMIES Подушечки с курицей, 140г",179.99 руб.,149.99 руб.,DREAMIES
399761,"Лакомство для кошек DREAMIES Подушечки с говядиной, 140г",179.99 руб.,149.99 руб.,DREAMIES
429323,"Салфетки влажные для уборки за животными ЛЕНТА, 30шт",49.99 руб.,39.99 руб.,ЛЕНТА
429324,"Салфетки влажные для ухода за глазами и ушами животных ЛЕНТА, 20шт",44.99 руб.,29.99 руб.,ЛЕНТА
429670,"Корм сухой для взрослых кошек PERFECT FIT с говядиной, для стерилизованных, 650г",449.99 руб.,264.99 руб.,PERFECT FIT
429695,"Корм сухой для взрослых кошек PERFECT FIT с индейкой, с чувствительным пищеварением, 650г",449.99 руб.,449.99 руб.,PERFECT FIT
429942,"Миска для животных TRIOL металлическая двойная на подставке, 2х0.23мл",399.99 руб.,299.99 руб.,TRIOL
460208,"Корм сухой для котят PURINA ONE Kitten с курицей и цельными злаками, 750г",349.99 руб.,349.99 руб.,PURINA ONE
463402,"Наполнитель силикагелевый для кошачьего туалета KEEZEG без запаха, 1,3кг",439.99 руб.,339.99 руб.,ЧТМ fantasy brands
470608,Миска для животных 365 ДНЕЙ двойная 150/250мл,149.99 руб.,104.99 руб.,365 ДНЕЙ
488626,"Корм сухой для взрослых кошек PURINA ONE Sterilised с курицей и цельными злаками, 750г",349.99 руб.,349.99 руб.,PURINA ONE
488788,"Корм сухой для взрослых кошек PURINA ONE Sterilised с курицей и цельными злаками, 1,5кг",829.99 руб.,679.99 руб.,PURINA ONE
